"DATA","TIPO","MATERIA","ATTIVITA'","POMODORI","IMPREVISTI"
"1/17/2021","STUDIO","ITALIANO","TEORIA","1","0"
"1/17/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"1/18/2021","STUDIO","LATINO","TEORIA","1","0"
"1/19/2021","STUDIO","LATINO","TEORIA","1","0"
"1/19/2021","STUDIO","FISICA","ESERCIZI","1","0"
"1/20/2021","STUDIO","LATINO","TEORIA","1","0"
"1/20/2021","STUDIO","FISICA","TEORIA","1","0"
"1/20/2021","STUDIO","SCIENZE","TEORIA","3","0"
"1/21/2021","STUDIO","LATINO","TEORIA","3","2"
"1/22/2021","STUDIO","MATEMATICA","ESERCIZI","4","0"
"1/22/2021","STUDIO","ARTE","TEORIA","1","0"
"1/23/2021","STUDIO","ARTE","TEORIA","4","1"
"1/24/2021","STUDIO","ARTE","TEORIA","2","1"
"1/24/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"1/25/2021","STUDIO","SCIENZE","ESERCIZI","3","0"
"1/25/2021","STUDIO","FISICA","ESERCIZI","1","0"
"1/25/2021","STUDIO","ITALIANO","TEORIA","1","0"
"1/25/2021","STUDIO","ARTE","TEORIA","1","0"
"1/26/2021","STUDIO","ARTE","TEORIA","3","0"
"1/27/2021","STUDIO","ARTE","TEORIA","5","2"
"1/27/2021","STUDIO","ITALIANO","TEORIA","4","0"
"1/27/2021","STUDIO","FISICA","TEORIA","1","0"
"1/28/2021","STUDIO","ITALIANO","TEORIA","3","1"
"1/28/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"1/29/2021","STUDIO","ITALIANO","TEORIA","1","0"
"1/29/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"1/30/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"1/31/2021","STUDIO","MATEMATICA","TEORIA","1","0"
"1/31/2021","STUDIO","SCIENZE","TEORIA","1","0"
"2/1/2021","STUDIO","SCIENZE","TEORIA","4","0"
"2/1/2021","STUDIO","MATEMATICA","TEORIA","2","0"
"2/1/2021","STUDIO","ITALIANO","TEORIA","1","0"
"2/2/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"2/3/2021","STUDIO","FISICA","TEORIA","1","0"
"2/3/2021","STUDIO","SCIENZE","ESERCIZI","3","0"
"2/4/2021","STUDIO","FISICA","TEORIA","3","0"
"2/4/2021","STUDIO","ITALIANO","ESERCIZI","1","0"
"2/5/2021","STUDIO","FISICA","TEORIA","1","0"
"2/5/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"2/5/2021","STUDIO","INGLESE","TEORIA","2","0"
"2/6/2021","STUDIO","INGLESE","TEORIA","1","0"
"2/7/2021","STUDIO","INGLESE","TEORIA","6","0"
"2/8/2021","STUDIO","INGLESE","TEORIA","5","2"
"2/9/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"2/10/2021","STUDIO","STORIA","TEORIA","1","0"
"2/10/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"2/10/2021","STUDIO","MATEMATICA","ESERCIZI","4","0"
"2/10/2021","STUDIO","ARTE","TEORIA","2","0"
"2/11/2021","STUDIO","MATEMATICA","TEORIA","4","1"
"2/12/2021","STUDIO","SCIENZE","TEORIA","3","1"
"2/13/2021","NO STUDIO","","","0",""
"2/14/2021","STUDIO","MATEMATICA","ESERCIZI","4","0"
"2/15/2021","STUDIO","FISICA","TEORIA","4","2"
"2/16/2021","STUDIO","FISICA","TEORIA","1","0"
"2/16/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"2/17/2021","STUDIO","SCIENZE","TEORIA","4","1"
"2/17/2021","STUDIO","FISICA","ESERCIZI","1","0"
"2/18/2021","STUDIO","SCIENZE","TEORIA","1","0"
"2/19/2021","STUDIO","SCIENZE","TEORIA","2","0"
"2/19/2021","STUDIO","FISICA","TEORIA","2","1"
"2/20/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"2/20/2021","STUDIO","FISICA","ESERCIZI","3","0"
"2/21/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"2/21/2021","STUDIO","ITALIANO","TEORIA","3","0"
"2/22/2021","STUDIO","SCIENZE","TEORIA","4","1"
"2/22/2021","STUDIO","MATEMATICA","TEORIA","1","0"
"2/22/2021","STUDIO","LATINO","TEORIA","1","0"
"2/23/2021","STUDIO","MATEMATICA","ESERCIZI","7","0"
"2/24/2021","STUDIO","SCIENZE","ESERCIZI","5","0"
"2/24/2021","STUDIO","SCIENZE","TEORIA","5","0"
"2/25/2021","STUDIO","LATINO","TEORIA","1","0"
"2/25/2021","STUDIO","FISICA","ESERCIZI","6","0"
"2/26/2021","STUDIO","SCIENZE","TEORIA","4","2"
"2/26/2021","STUDIO","ITALIANO","TEORIA","2","0"
"2/27/2021","STUDIO","SCIENZE","TEORIA","1","0"
"2/28/2021","STUDIO","FILOSOFIA","TEORIA","3","1"
"3/1/2021","STUDIO","FILOSOFIA","TEORIA","12","3"
"3/1/2021","STUDIO","ITALIANO","TEORIA","1","0"
"3/2/2021","STUDIO","FILOSOFIA","TEORIA","2","0"
"3/2/2021","STUDIO","ITALIANO","TEORIA","2","1"
"3/3/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"3/3/2021","STUDIO","ARTE","TEORIA","1","0"
"3/3/2021","STUDIO","FISICA","TEORIA","1","0"
"3/4/2021","STUDIO","LATINO","TEORIA","2","0"
"3/5/2021","STUDIO","ARTE","TEORIA","3","0"
"3/5/2021","STUDIO","SCIENZE","TEORIA","3","0"
"3/5/2021","STUDIO","LATINO","TEORIA","1","0"
"3/6/2021","STUDIO","LATINO","TEORIA","4","0"
"3/7/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"3/7/2021","STUDIO","FISICA","TEORIA","3","0"
"3/7/2021","STUDIO","STORIA","TEORIA","5","2"
"3/8/2021","STUDIO","LATINO","TEORIA","5","1"
"3/8/2021","STUDIO","ARTE","TEORIA","2","2"
"3/8/2021","STUDIO","FISICA","ESERCIZI","1","0"
"3/9/2021","STUDIO","LATINO","TEORIA","1","0"
"3/9/2021","STUDIO","STORIA","TEORIA","2","1"
"3/10/2021","STUDIO","STORIA","TEORIA","3","0"
"3/10/2021","STUDIO","FISICA","ESERCIZI","2","0"
"3/10/2021","STUDIO","SCIENZE","TEORIA","5","2"
"3/11/2021","STUDIO","FISICA","ESERCIZI","4","0"
"3/11/2021","STUDIO","STORIA","TEORIA","5","0"
"3/12/2021","STUDIO","STORIA","TEORIA","1","0"
"3/13/2021","STUDIO","ARTE","TEORIA","1","0"
"3/14/2021","STUDIO","ARTE","TEORIA","4","0"
"3/14/2021","STUDIO","ITALIANO","TEORIA","2","0"
"3/15/2021","STUDIO","ARTE","TEORIA","9","0"
"3/16/2021","STUDIO","ARTE","TEORIA","5","0"
"3/17/2021","STUDIO","ARTE","TEORIA","9","0"
"3/18/2021","STUDIO","ARTE","TEORIA","2","0"
"3/18/2021","STUDIO","FISICA","TEORIA","4","0"
"3/19/2021","STUDIO","SCIENZE","TEORIA","4","0"
"3/19/2021","STUDIO","ITALIANO","ESERCIZI","2","0"
"3/19/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"3/19/2021","STUDIO","INGLESE","TEORIA","1","0"
"3/20/2021","STUDIO","ED. FISICA","TEORIA","2","0"
"3/20/2021","STUDIO","SCIENZE","TEORIA","2","0"
"3/21/2021","STUDIO","SCIENZE","TEORIA","2","0"
"3/21/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"3/22/2021","STUDIO","SCIENZE","TEORIA","3","0"
"3/22/2021","STUDIO","LATINO","TEORIA","1","0"
"3/22/2021","STUDIO","ARTE","TEORIA","1","0"
"3/23/2021","STUDIO","SCIENZE","TEORIA","1","0"
"3/24/2021","STUDIO","SCIENZE","TEORIA","4","0"
"3/24/2021","STUDIO","INGLESE","TEORIA","2","2"
"3/24/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"3/25/2021","STUDIO","SCIENZE","TEORIA","1","0"
"3/25/2021","STUDIO","MATEMATICA","TEORIA","2","1"
"3/26/2021","STUDIO","SCIENZE","TEORIA","3","0"
"3/26/2021","STUDIO","ARTE","TEORIA","1","0"
"3/27/2021","STUDIO","MATEMATICA","ESERCIZI","4","0"
"3/28/2021","STUDIO","MATEMATICA","TEORIA","4","0"
"3/28/2021","STUDIO","INGLESE","TEORIA","2","0"
"3/28/2021","STUDIO","ITALIANO","TEORIA","2","0"
"3/29/2021","STUDIO","ITALIANO","TEORIA","2","2"
"3/29/2021","STUDIO","INGLESE","TEORIA","2","0"
"3/30/2021","STUDIO","ITALIANO","TEORIA","2","1"
"3/30/2021","STUDIO","INGLESE","TEORIA","1","0"
"3/31/2021","STUDIO","ITALIANO","TEORIA","1","1"
"3/31/2021","STUDIO","INGLESE","TEORIA","2","0"
"4/1/2021","STUDIO","MATEMATICA","ESERCIZI","3","0"
"4/2/2021","STUDIO","ARTE","TEORIA","7","0"
"4/3/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/4/2021","STUDIO","ARTE","TEORIA","1","0"
"4/5/2021","STUDIO","ARTE","TEORIA","3","0"
"4/5/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"4/6/2021","STUDIO","ARTE","TEORIA","4","1"
"4/6/2021","STUDIO","ED. CIVICA","TEORIA","3","1"
"4/6/2021","STUDIO","ITALIANO","TEORIA","2","0"
"4/6/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/7/2021","STUDIO","ED. CIVICA","TEORIA","1","0"
"4/7/2021","STUDIO","SCIENZE","ESERCIZI","2","0"
"4/7/2021","STUDIO","FISICA","TEORIA","6","0"
"4/8/2021","STUDIO","FISICA","TEORIA","1","0"
"4/8/2021","STUDIO","MATEMATICA","ESERCIZI","1","1"
"4/8/2021","STUDIO","SCIENZE","TEORIA","2","1"
"4/8/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/9/2021","STUDIO","SCIENZE","TEORIA","5","1"
"4/9/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"4/9/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/10/2021","STUDIO","MATEMATICA","TEORIA","4","0"
"4/11/2021","STUDIO","MATEMATICA","TEORIA","1","0"
"4/11/2021","STUDIO","ARTE","TEORIA","7","2"
"4/12/2021","STUDIO","LATINO","TEORIA","1","1"
"4/12/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"4/13/2021","STUDIO","ARTE","TEORIA","2","0"
"4/13/2021","STUDIO","ITALIANO","TEORIA","1","0"
"4/13/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/14/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"4/14/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"4/14/2021","STUDIO","INGLESE","TEORIA","1","2"
"4/15/2021","STUDIO","MATEMATICA","ESERCIZI","2","0"
"4/15/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/16/2021","STUDIO","MATEMATICA","ESERCIZI","7","1"
"4/16/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/17/2021","STUDIO","ITALIANO","TEORIA","1","0"
"4/18/2021","STUDIO","ITALIANO","TEORIA","4","1"
"4/18/2021","STUDIO","INGLESE","TEORIA","1","0"
"4/19/2021","STUDIO","INGLESE","TEORIA","3","0"
"4/19/2021","STUDIO","ITALIANO","TEORIA","1","1"
"4/19/2021","STUDIO","MATEMATICA","TEORIA","1","0"
"4/20/2021","STUDIO","ITALIANO","TEORIA","1","0"
"4/20/2021","STUDIO","MATEMATICA","ESERCIZI","4","0"
"4/21/2021","STUDIO","FILOSOFIA","TEORIA","1","0"
"4/21/2021","STUDIO","STORIA","TEORIA","1","0"
"4/21/2021","STUDIO","LATINO","TEORIA","1","1"
"4/21/2021","STUDIO","SCIENZE","TEORIA","1","0"
"4/21/2021","STUDIO","ARTE","TEORIA","1","0"
"4/22/2021","STUDIO","ARTE","TEORIA","3","0"
"4/22/2021","STUDIO","MATEMATICA","ESERCIZI","1","0"
"4/22/2021","STUDIO","INGLESE","TEORIA","1","1"
"4/23/2021","STUDIO","SCIENZE","ESERCIZI","1","0"
"4/23/2021","STUDIO","INGLESE","TEORIA","3","0"
"4/24/2021","STUDIO","ARTE","TEORIA","1","0"
"4/24/2021","STUDIO","FISICA","TEORIA","1","0"
